Id,SalePrice
1461,110000.0
1462,155000.0
1463,173000.0
1464,181000.0
1465,153900.0
1466,178000.0
1467,173000.0
1468,174000.0
1469,167000.0
1470,125000.0
1471,189000.0
1472,118000.0
1473,88000.0
1474,148500.0
1475,110000.0
1476,485000.0
1477,235128.0
1478,320000.0
1479,320000.0
1480,386250.0
1481,280000.0
1482,202500.0
1483,176432.0
1484,160200.0
1485,180000.0
1486,183500.0
1487,221000.0
1488,232000.0
1489,250580.0
1490,185000.0
1491,180000.0
1492,115000.0
1493,181000.0
1494,290000.0
1495,260000.0
1496,196000.0
1497,205950.0
1498,151000.0
1499,151000.0
1500,173733.0
1501,177500.0
1502,148800.0
1503,282922.0
1504,237000.0
1505,230000.0
1506,190000.0
1507,320000.0
1508,190000.0
1509,154000.0
1510,160000.0
1511,140000.0
1512,167000.0
1513,140000.0
1514,135000.0
1515,140000.0
1516,140000.0
1517,177000.0
1518,124000.0
1519,220000.0
1520,135000.0
1521,135000.0
1522,167000.0
1523,135000.0
1524,115000.0
1525,128900.0
1526,135000.0
1527,115000.0
1528,130000.0
1529,140000.0
1530,167000.0
1531,140000.0
1532,119000.0
1533,140000.0
1534,115000.0
1535,140000.0
1536,115000.0
1537,115000.0
1538,130000.0
1539,140000.0
1540,117500.0
1541,140000.0
1542,127000.0
1543,155000.0
1544,68500.0
1545,110000.0
1546,131000.0
1547,119000.0
1548,110000.0
1549,110000.0
1550,140000.0
1551,125000.0
1552,153900.0
1553,127000.0
1554,135000.0
1555,190000.0
1556,135000.0
1557,125000.0
1558,110000.0
1559,140000.0
1560,140000.0
1561,136500.0
1562,130000.0
1563,125000.0
1564,175000.0
1565,154000.0
1566,260000.0
1567,141000.0
1568,200000.0
1569,140000.0
1570,147000.0
1571,140000.0
1572,145000.0
1573,260000.0
1574,140000.0
1575,187500.0
1576,185000.0
1577,194000.0
1578,110000.0
1579,147000.0
1580,181000.0
1581,154000.0
1582,120500.0
1583,305900.0
1584,250000.0
1585,140000.0
1586,60000.0
1587,112000.0
1588,145000.0
1589,110000.0
1590,125000.0
1591,80000.0
1592,135000.0
1593,110000.0
1594,140000.0
1595,140000.0
1596,250000.0
1597,154300.0
1598,173000.0
1599,189000.0
1600,189000.0
1601,60000.0
1602,110000.0
1603,100000.0
1604,275000.0
1605,235000.0
1606,171500.0
1607,171000.0
1608,201000.0
1609,179900.0
1610,174000.0
